year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,Unnamed: 8,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2018,October 19th,Funny Girl,Musical,819871.0,,819871.0,,,,,,,Theater,Historical Fiction,https://www.the-numbers.com/movie/Funny-Girl-(UK)(2018)
2018,October 19th,An Evening With Beverly Luff Linn,Romantic Comedy,15885.0,,15885.0,,,,,,108.0,Relationships Gone Wrong,Contemporary Fiction,https://www.the-numbers.com/movie/Evening-With-Beverly-Luff-Linn-An-(2018)
2018,December 1st,Elliot: The Littlest Reindeer,Adventure,1391586.0,,1391586.0,,,,,,60.0,,Kids Fiction,https://www.the-numbers.com/movie/Elliot-The-Littlest-Reindeer
2018,October 19th,Fail State,Documentary,,,,,,,,,93.0,,Factual,https://www.the-numbers.com/movie/Fail-State-(Documentary)
2018,April 8th,Donbass,Drama,68031.0,,68031.0,,,,,,122.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Donbass-(Ukraine)(2018)
2018,October 19th,Destierros,Documentary,3926.0,,3926.0,,,,,,92.0,,Factual,https://www.the-numbers.com/movie/Destierros-(Canada)(2018)
2018,October 19th,Departure Along the Sea,,35259.0,,35259.0,,,,,,110.0,,,https://www.the-numbers.com/movie/Departure-Along-the-Sea-(China)-(2018)
2018,October 19th,Desenterrando Sad Hill,Documentary,32762.0,,32762.0,,,,,,86.0,,Factual,https://www.the-numbers.com/movie/Desenterrando-Sad-Hill-(Spain)(2018)
2018,October 19th,Change in the Air,Drama,,,,,,,,,94.0,Faith-Based Film,Contemporary Fiction,https://www.the-numbers.com/movie/Change-in-the-Air-(2018)
2018,October 19th,La casa del eco,Drama,1632.0,,1632.0,,,,,,100.0,,Contemporary Fiction,https://www.the-numbers.com/movie/casa-del-eco-La-(Argentina)-(2018)
2018,October 19th,Can You Ever Forgive Me?,Drama,3713514.0,8803865.0,12517379.0,10000000.0,,161510.0,5.0,5.8,106.0,1970s,Dramatization,https://www.the-numbers.com/movie/Can-You-Ever-Forgive-Me-(2018)
2018,October 19th,Caniba,Documentary,,,,,,,,,92.0,1980s,Factual,https://www.the-numbers.com/movie/Caniba-(France)
2018,October 19th,Brewmaster,Documentary,,,,,,,,,95.0,Gastronomy,Factual,https://www.the-numbers.com/movie/Brewmaster-(Documentary)-(2018)
2018,October 19th,"Barbacana, la huella del lobo",Documentary,46389.0,,46389.0,,,,,,75.0,,Factual,https://www.the-numbers.com/movie/Barbacana-la-huella-del-lobo-(Spain)(2018)
2018,October 19th,BramptonÃ¢â‚¬â„¢s Own,Drama,,,,,,,,,89.0,Life in a Small Town,Contemporary Fiction,https://www.the-numbers.com/movie/Bramptons-Own-(2018)
2017,October 20th,Otra madre,Drama,890.0,,890.0,,,,,,77.0,,,https://www.the-numbers.com/movie/Otra-madre-(Argentina)-(2017)
2018,October 19th,Big Kill,Western,1469.0,,1469.0,,,,,,129.0,,Historical Fiction,https://www.the-numbers.com/movie/Big-Kill-(2018)
2017,October 20th,Only the Brave,Drama,6215126.0,18340051.0,24555177.0,38000000.0,,6002665.0,2577.0,3.7,134.0,Disaster,Dramatization,https://www.the-numbers.com/movie/Only-the-Brave-(2017)
2018,December 14th,CafarnaÃƒÂºm,Drama,63573085.0,1660708.0,65233793.0,4000000.0,,24988.0,3.0,5.0,126.0,Set in Lebanon,Contemporary Fiction,https://www.the-numbers.com/movie/Cafarnaum-(Lebanon)-(2018)
2017,October 20th,Open Fire,Documentary,346515.0,,346515.0,,,,,,86.0,,Factual,https://www.the-numbers.com/movie/Open-Fire-(China)-(2017)
2017,October 20th,No Ordinary Sheila,Documentary,259821.0,,259821.0,,,,,,,,Factual,https://www.the-numbers.com/movie/No-Ordinary-Sheila-(NZ)
2017,October 20th,Nightworld,Horror,,,,,,,,,92.0,Set in Bulgaria,Factual,https://www.the-numbers.com/movie/Nightworld
2017,October 20th,Les nouvelles aventures de Cendrillon,Comedy,6466643.0,,6466643.0,,,,,,90.0,,,https://www.the-numbers.com/movie/nouvelles-aventures-de-Cendrillon-Les-(France)
2017,October 20th,Never Here,Thriller/Suspense,,,,,,,,,110.0,Hallucinations,Contemporary Fiction,https://www.the-numbers.com/movie/Never-Here
2017,October 20th,NecronomicÃƒÂ³n,Horror,7617.0,,7617.0,,,,,,90.0,,,https://www.the-numbers.com/movie/Necronomicion-(Argentina)
2017,October 20th,Ni Ruo An Hao,,1706807.0,,1706807.0,,,,,,90.0,,,https://www.the-numbers.com/movie/Ni-Ruo-An-Hao-(China)-(2017)
2017,October 20th,Mersal,Action,2168812.0,,2168812.0,,,,,,169.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Mersal-(India)
2017,October 20th,Mix,Drama,15224207.0,,15224207.0,,,,,,120.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Mix-(Japan)
