salesid,theater_count,international,domestic
309,1,,13544
310,2467,6521573,19351569
311,2,,635282
312,104,476245,146028
313,2521,7000000,64172251
314,2624,7754709,36696761
315,2268,40466125,25288103
316,1,,111566
317,2545,2970216,15738632
318,14,,114657
319,1722,,5409517
320,2,,323403
321,2656,9700076,33357476
322,2,,171478
323,16,205425,687081
324,2,,582
325,2951,78429635,66808615
326,157,,637769
327,2337,31956428,24375436
328,1742,8300000,11560259
329,1,,38214
330,6,14000000,2252970
331,38,463400,902835
332,1509,45574512,51396781
333,2830,28200000,51758599
334,11,14174564,25544867
335,2750,17419801,40334024
336,1974,,5516708
337,1378,500782,27457409
338,14,,37831
339,2,15500000,5383834
340,3104,85000000,112692062
341,199,14000000,13491653
342,2617,,13558739
343,,,995122
344,2530,31100387,74058698
345,7,412666,55381
346,2249,30291521,52990775
347,1590,11395193,4777007
348,,,
349,5,,149258
350,14,,344235
351,1,,104883
352,2638,3900000,27087695
353,2556,54393,14252830
354,1111,146400,23247539
355,1611,206401817,71500556
356,51,,852206
357,,,5159
358,,,
359,11,,33565
360,7,400000,1096037
361,2123,13802992,25590119
362,2271,,14249005
363,14,,32395
364,6,,1051811
365,2905,22000000,32616869
366,1818,7165425,6276532
367,1514,,6755271
368,5,,3037579
369,2222,3652318,6712451
370,14,27266,49388
371,9,41305,35938
372,3401,233032755,202007640
373,2,,8759
374,3,,88868
375,2,,1450106
376,5,,151559
377,1,,7778
378,34,746128,536465
379,2,,1111273
380,1,546652,1280975
381,125,,152525
382,2375,5500000,24044532
383,3587,224157783,267655011
384,1,,254199
385,3214,250699998,198539855
386,11,1043748,747092
387,6,5500000,1280090
388,,,
389,1,,15712
390,,,512451
391,2788,,55762229
392,2675,6194297,32267774
393,2,101996258,84052762
394,8,,419414
395,1,,3783
396,5,7270,1320112
397,2611,60030798,38311134
398,2678,77307444,69772969
399,11,884559,4013506
400,9,3212299,6946056
401,1,,31200
402,3308,142186002,131144183
403,,,127103
404,7,,3050934
405,1,,258708
406,3049,63151000,112950721
407,1,,94591
408,2628,61946062,144512310
409,1533,,28734552
410,2,,685082
411,,,325838
412,,1438,
413,712,,3293258
414,3040,107324849,93375151
415,3220,69911681,71277420
416,8,,187474
417,2025,,36833473
418,7,,302365
419,1,,28664
420,2649,53000000,32131830
421,6,500000,881824
422,1,,222683
423,2620,45315809,96493426
424,3,167353,5308707
425,2129,42472207,71069884
426,3434,184733885,181166115
427,3011,67040820,93607673
428,11,27099,450594
429,5,2543759,6217849
430,9,672718,3067312
431,2,,94596
432,9,,1439287
433,6,,44452
434,3500,182200000,180011740
435,1,,49007
436,2,,292102
437,2194,,16521410
438,3118,121261546,226164286
439,2537,57090000,108244774
440,6,1158526,8823109
441,1,,1006969
442,3063,141403180,145096820
443,7,,850023
444,2305,,13596911
445,30,1325258,378176
446,1678,111242369,96522687
